,Feature,Coefficient,Abs_Coefficient,Category,Normalized_Importance
0,Intercept,993.8267811454583,993.8267811454583,Other,0.4700943361196618
1,rel_strength_20d_BR,-2114.100734224718,2114.100734224718,Peer,1.0
2,returns_5d,-792.779436234449,792.779436234449,Returns/Vol,0.3749960554860583
3,rel_strength_20d_AAPL,763.8835665037907,763.8835665037907,Peer,0.36132789423769895
4,returns_1d,747.3480471076947,747.3480471076947,Returns/Vol,0.35350635615845516
5,rel_strength_20d_CTSH,-652.2012142907328,652.2012142907328,Peer,0.3085005381874141
6,rel_strength_20d_CDW,-181.04060869138868,181.04060869138868,Peer,0.08563480715964077
7,rel_price_BR,157.90894928246698,157.90894928246698,Peer,0.07469320015177766
8,avg_rel_price,-150.59774560462608,150.59774560462608,Peer,0.07123489584324524
9,rel_price_ADI,93.70725142621978,93.70725142621978,Peer,0.04432487530476359
10,returns_20d,78.79476572160783,78.79476572160783,Returns/Vol,0.037271055463922065
11,fred_unrate,-53.34512898848759,53.34512898848759,Other,0.02523301190189042
12,fred_fedfunds,-43.108337068338145,43.108337068338145,Other,0.020390862351290374
13,fred_tb3ms,25.72524429317785,25.72524429317785,Other,0.012168409894910612
14,fred_dgs2,-24.919212361538357,24.919212361538357,Other,0.011787145218828335
15,fred_mortgage30us,18.26513098913553,18.26513098913553,Other,0.008639669195249444
16,fred_civpart,-13.888407264301426,13.888407264301426,Other,0.0065694160356055955
17,rel_price_CDW,6.903053858652449,6.903053858652449,Peer,0.0032652435841397753
18,price_above_sma_50,-4.8815086109457235,4.8815086109457235,Technical,0.0023090236581067495
19,close_lag_5,-2.343969377061862,2.343969377061862,Lagged/Rolling,0.0011087311683477758
20,close_lag_1,2.2835698288681954,2.2835698288681954,Lagged/Rolling,0.0010801613148796454
21,sma_10_above_20,-2.168967087000314,2.168967087000314,Technical,0.0010259525725938108
22,volume_ratio,-0.9438803226744735,0.9438803226744735,Other,0.00044646894416817506
23,rsi_21,-0.5990191967684072,0.5990191967684072,Technical,0.0002833446803508534
24,price_above_sma_10,0.5094850464072419,0.5094850464072419,Technical,0.0002409937417641927
25,donchian_low_20,0.4029412331955734,0.4029412331955734,Other,0.00019059698843694873
26,adx_14,-0.3948418368591273,0.3948418368591273,Other,0.0001867658576846025
27,close_roll_20_std,-0.3542413692534933,0.3542413692534933,Lagged/Rolling,0.0001675612535953262
28,close_roll_5_max,0.29458113180750295,0.29458113180750295,Lagged/Rolling,0.00013934110472532975
29,fred_pcend,-0.21734428485147456,0.21734428485147456,Other,0.00010280696720498465
30,bb_width,0.16547606480827393,0.16547606480827393,Technical,7.827255443859311e-05
31,stoch_k_14,0.16183394441954202,0.16183394441954202,Technical,7.654977920382289e-05
32,ichimoku_senkou_b,-0.14625672803957598,0.14625672803957598,Technical,6.918153220982215e-05
33,fred_pce,0.05709293078220771,0.05709293078220771,Other,2.7005775958516374e-05
34,fred_nasdaqcom,0.003403319736011882,0.003403319736011882,Other,1.6098190975085895e-06
35,minus_di_14,-0.0022349692401480684,0.0022349692401480684,Other,1.0571725386433278e-06
36,rel_price_rank,-0.0020811295053002306,0.0020811295053002306,Peer,9.844041353419336e-07
37,fred_base,-4.686712633650259e-06,4.686712633650259e-06,Other,2.2168823641078613e-09
38,obv_sma_20,-9.287174194006517e-07,9.287174194006517e-07,Technical,4.39296673221785e-10
