,Feature,Coefficient,Abs_Coefficient,Category,Normalized_Importance
0,Intercept,-4645.58223278281,4645.58223278281,Other,1.0
1,rel_strength_20d_ADP,-3327.0788550158654,3327.0788550158654,Peer,0.7161812423720394
2,rel_strength_20d_AAPL,1896.1991610981468,1896.1991610981468,Peer,0.40817255320917656
3,rel_strength_20d_ACN,707.3217419546395,707.3217419546395,Peer,0.15225685533305855
4,rel_price_ADP,313.9602417016673,313.9602417016673,Peer,0.06758253884435018
5,returns_1d,-288.4372277826065,288.4372277826065,Returns/Vol,0.062088498993123194
6,rel_price_ACN,-135.56573839431456,135.56573839431456,Peer,0.029181646476443404
7,rel_return_volatility,-125.89596997467395,125.89596997467395,Peer,0.027100148843831655
8,volatility_20d,-89.74429924980512,89.74429924980512,Returns/Vol,0.019318202703742956
9,rel_price_AAPL,-87.72244488469389,87.72244488469389,Peer,0.018882981828554597
10,rel_price_ADI,86.93132590531877,86.93132590531877,Peer,0.018712686924765708
11,returns_20d,83.10103376249278,83.10103376249278,Returns/Vol,0.017888184860030635
12,rel_return_ACN,76.36241429092104,76.36241429092104,Peer,0.016437641282517606
13,rel_return_ADP,-55.75432608056934,55.75432608056934,Peer,0.012001579842269034
14,avg_rel_price,44.40084608081261,44.40084608081261,Peer,0.009557649365775082
15,fred_cpiaucsl,42.93302430370659,42.93302430370659,Other,0.009241688587651741
16,fred_cpilfesl,-30.67105712253442,30.67105712253442,Other,0.006602198731107544
17,fred_tb3ms,-22.486761423062315,22.486761423062315,Other,0.004840461388107262
18,fred_civpart,-19.847720068660408,19.847720068660408,Other,0.00427238590861649
19,fred_pcepilfe,-8.88593677407663,8.88593677407663,Other,0.0019127713877004713
20,fred_csushpisa,8.648235807459047,8.648235807459047,Other,0.0018616042885712854
21,fred_fedfunds,6.792154544256022,6.792154544256022,Other,0.0014620674447059277
22,sma_20_above_50,-6.12143862391714,6.12143862391714,Technical,0.0013176902952485802
23,macd_cross_signal,-3.520016971646033,3.520016971646033,Technical,0.0007577127678003587
24,macd_histogram,-3.3416396788654765,3.3416396788654765,Technical,0.0007193155801406959
25,bb_position,2.8066112674018484,2.8066112674018484,Technical,0.0006041462892629982
26,price_above_sma_20,2.095200060478315,2.095200060478315,Technical,0.00045100914277073126
27,fred_unrate,1.9790893683639008,1.9790893683639008,Other,0.0004260153559220027
28,macd,-1.862426813751199,1.862426813751199,Technical,0.00040090277610597
29,volume_ratio,-1.807557795852631,1.807557795852631,Other,0.0003890917661724099
30,macd_signal,1.4792128635627222,1.4792128635627222,Technical,0.00031841280370074085
31,sma_5_above_10,1.2867724523267725,1.2867724523267725,Technical,0.00027698841347513216
32,close_lag_1,-1.1145121379171297,1.1145121379171297,Lagged/Rolling,0.0002399079560043675
33,price_above_sma_5,-1.0015958376924203,1.0015958376924203,Technical,0.0002156017884312515
34,ichimoku_tenkan_9,-0.6727967476136882,0.6727967476136882,Technical,0.0001448250647391226
35,bb_lower,0.6615957332015454,0.6615957332015454,Technical,0.00014241395374143113
36,low_lag_1,0.5607851872353988,0.5607851872353988,Lagged/Rolling,0.00012071364990120424
37,fred_pcend,-0.5259622284868145,0.5259622284868145,Other,0.00011321772000401145
38,adx_14,0.48700126024235724,0.48700126024235724,Other,0.00010483104933665814
39,close_roll_20_max,0.43195107708947944,0.43195107708947944,Lagged/Rolling,9.298104208365952e-05
40,atr_14,-0.4179658505358046,0.4179658505358046,Technical,8.997060639381546e-05
41,close_lag_3,0.32813264986771173,0.32813264986771173,Lagged/Rolling,7.063326692446746e-05
42,fred_pcedg,0.24752526135603148,0.24752526135603148,Other,5.328185983003431e-05
43,ichimoku_kijun_26,-0.21936734160522064,0.21936734160522064,Technical,4.7220634704772964e-05
44,fred_pcesv,-0.14542168013554146,0.14542168013554146,Other,3.1303219456397514e-05
45,high_lag_3,-0.1406228291783691,0.1406228291783691,Lagged/Rolling,3.0270227095761216e-05
46,fred_gdpc1,0.1387245572410052,0.1387245572410052,Other,2.986160836031655e-05
47,fred_sp500,0.1275283716717992,0.1275283716717992,Other,2.7451536811007387e-05
48,fred_houst,-0.08229642464808151,0.08229642464808151,Other,1.7714986093096037e-05
49,parabolic_sar,-0.05724341503673713,0.05724341503673713,Other,1.2322118556589842e-05
50,fred_m1sl,0.040452320138456344,0.040452320138456344,Other,8.707696497759437e-06
51,plus_di_14,0.03847721255573333,0.03847721255573333,Other,8.282538254130656e-06
52,rel_price_rank,0.03134301645237579,0.03134301645237579,Peer,6.746843534744752e-06
53,fred_nasdaqcom,-0.015887485921718625,0.015887485921718625,Other,3.4199127527232808e-06
54,minus_di_14,0.01145394942585165,0.01145394942585165,Other,2.4655573514604375e-06
55,fred_base,-0.0004736667288690741,0.0004736667288690741,Other,1.0196068116640288e-07
56,fred_djia,0.0003676499544553735,0.0003676499544553735,Other,7.913969359124719e-08
57,obv_sma_20,-7.426235940077852e-07,7.426235940077852e-07,Technical,1.5985587097506542e-10
58,volume_lag_5,-1.5222335725262326e-07,1.5222335725262326e-07,Lagged/Rolling,3.276733671366699e-11
59,obv,9.183795718348264e-08,9.183795718348264e-08,Technical,1.9768879890964625e-11
