,Feature,Coefficient,Abs_Coefficient,Category,Normalized_Importance
0,Intercept,-109.06356349678788,109.06356349678788,Other,0.126885862572092
1,avg_rel_strength,859.5407028487659,859.5407028487659,Peer,1.0
2,rel_strength_20d_BKR,-422.14704163698565,422.14704163698565,Peer,0.49113094963143517
3,rel_strength_20d_APA,-275.6709447403965,275.6709447403965,Peer,0.3207188953667272
4,rel_strength_20d_HAL,-216.57746543121314,216.57746543121314,Peer,0.25196883022922933
5,volatility_20d,-125.4609517901154,125.4609517901154,Returns/Vol,0.14596278148818503
6,rel_strength_20d_CVX,114.08928275857983,114.08928275857983,Peer,0.13273284485592715
7,rel_price_COP,-34.73447513178262,34.73447513178262,Peer,0.040410506467771154
8,fred_emratio,-25.56266874658391,25.56266874658391,Other,0.02973991651804487
9,fred_civpart,16.8042418409522,16.8042418409522,Other,0.019550257230702507
10,returns_20d,-16.377334027266677,16.377334027266677,Returns/Vol,0.01905358754156431
11,avg_rel_return,15.773458079825984,15.773458079825984,Peer,0.01835103099544698
12,fred_unrate,-15.20601203330106,15.20601203330106,Other,0.017690857434562376
13,rel_return_CVX,-14.242226806004687,14.242226806004687,Peer,0.016569578100026953
14,fred_fedfunds,12.134836737217677,12.134836737217677,Other,0.014117815127310814
15,rel_price_BKR,6.75880011133809,6.75880011133809,Peer,0.007863269405320162
16,returns_1d,6.332502942334807,6.332502942334807,Returns/Vol,0.007367310147555625
17,fred_pcepi,6.1485733305429235,6.1485733305429235,Other,0.007153324223233149
18,rel_price_CTRA,-4.6158522051541695,4.6158522051541695,Peer,0.005370138016566177
19,fred_dgs30,-3.519388555327282,3.519388555327282,Other,0.0040944990082063745
20,fred_tb3ms,-2.4675329396777244,2.4675329396777244,Other,0.0028707575237561273
21,rel_return_BKR,2.1732337400545276,2.1732337400545276,Peer,0.0025283662924301363
22,donchian_high_20,-1.308146315533321,1.308146315533321,Other,0.0015219131696704376
23,fred_dgs10,1.2819390774972153,1.2819390774972153,Other,0.0014914233534822716
24,bb_position,-1.223248466105325,1.223248466105325,Technical,0.0014231419897290803
25,close_roll_20_max,0.9416877480361734,0.9416877480361734,Lagged/Rolling,0.00109557086117638
26,ichimoku_kijun_26,0.8533652839333615,0.8533652839333615,Technical,0.0009928154433001982
27,volume_ratio,0.7633517828513123,0.7633517828513123,Other,0.0008880926526473316
28,close_roll_20_mean,0.5586533201985473,0.5586533201985473,Lagged/Rolling,0.0006499439972383029
29,sma_20,0.5586533198281387,0.5586533198281387,Technical,0.0006499439968073651
30,donchian_mid_20,0.43764148377949275,0.43764148377949275,Other,0.0005091573701268858
31,close_roll_20_min,-0.42838599911221276,0.42838599911221276,Lagged/Rolling,0.0004983894278565494
32,sma_5_above_10,-0.4093094612252344,0.4093094612252344,Technical,0.0004761955540542347
33,ichimoku_senkou_b,-0.3990097437345391,0.3990097437345391,Technical,0.000464212738747689
34,close_roll_5_min,-0.34932015941701994,0.34932015941701994,Lagged/Rolling,0.0004064032782383337
35,price_above_sma_50,-0.3293565206603546,0.3293565206603546,Technical,0.0003831773406061773
36,close_roll_10_std,-0.30308649327052706,0.30308649327052706,Lagged/Rolling,0.000352614474528095
37,close_roll_10_min,-0.2409306441440151,0.2409306441440151,Lagged/Rolling,0.0002803016114833206
38,ichimoku_senkou_a,-0.2334261238581803,0.2334261238581803,Technical,0.0002715707622507448
39,price_above_sma_20,-0.2236903421518548,0.2236903421518548,Technical,0.0002602440366238393
40,bb_upper,-0.21690763177443273,0.21690763177443273,Technical,0.00025235294972714877
41,close_lag_1,-0.12424024998327775,0.12424024998327775,Lagged/Rolling,0.00014454260231250215
42,sma_20_above_50,0.09617756565651057,0.09617756565651057,Technical,0.00011189413757574291
43,adx_14,-0.05234267541802495,0.05234267541802495,Other,6.0896098630985386e-05
44,fred_pcend,0.03820432059266952,0.03820432059266952,Other,4.444736644355453e-05
45,fred_dgs2,0.03235153533107566,0.03235153533107566,Other,3.7638165620142635e-05
46,fred_m2sl,-0.029006196993634603,0.029006196993634603,Other,3.3746158730470464e-05
47,fred_gdp,-0.027912083713033553,0.027912083713033553,Other,3.247325416995944e-05
48,stoch_d_3,0.02660369461858636,0.02660369461858636,Technical,3.0951058548378265e-05
49,fred_gdppot,0.020417075923364836,0.020417075923364836,Other,2.3753471889925347e-05
50,fred_pcesv,0.017592147425951277,0.017592147425951277,Other,2.046691607232307e-05
51,fred_m1sl,0.013664161349148924,0.013664161349148924,Other,1.5897049789337435e-05
52,fred_gdpc1,0.011702626398079286,0.011702626398079286,Other,1.3614976416234164e-05
53,cci_20,0.008053213306084217,0.008053213306084217,Technical,9.369205296960975e-06
54,parabolic_sar,-0.007643325820380076,0.007643325820380076,Other,8.89233726227029e-06
55,fred_pcedg,-0.005246853256491241,0.005246853256491241,Other,6.104252235061882e-06
56,fred_nasdaqcom,0.002274747182311479,0.002274747182311479,Other,2.6464682530708674e-06
57,fred_djia,-0.0015314225026554495,0.0015314225026554495,Other,1.7816753733475022e-06
58,plus_di_14,0.0009863752021317396,0.0009863752021317396,Other,1.1475607831747903e-06
59,rel_price_rank,0.0005455773199764812,0.0005455773199764812,Peer,6.347312211839189e-07
60,fred_base,0.00016921702941730918,0.00016921702941730918,Other,1.968691288922969e-07
61,volume_sma_20,6.836467214554887e-07,6.836467214554887e-07,Technical,7.953628248082797e-10
62,obv,4.903544770229473e-08,4.903544770229473e-08,Technical,5.704843009734979e-11
63,volume_lag_2,4.3731663623702843e-08,4.3731663623702843e-08,Lagged/Rolling,5.0877943858578765e-11
64,volume_lag_1,3.832343509202474e-08,3.832343509202474e-08,Lagged/Rolling,4.458594568588761e-11
65,obv_sma_20,-2.1967350161133936e-08,2.1967350161133936e-08,Technical,2.555707959882272e-11
