feature,coefficient
rel_price_rank,-0.0002691959782851997
fred_base,-1.45672815051897
close_lag_1,-0.9001571603753495
returns_1d,-236.91573815537748
sma_20_above_50,-8.54284662169953
fred_tb3ms,-73.57687317156851
fred_pcend,-0.5804159581742492
rel_strength_20d_ACN,-352.4760700259144
rel_price_ADP,384.3471915420601
fred_unrate,7.432776509737707
obv,-1.7172537967661154e-07
rel_strength_20d_AAPL,1955.5971877954958
volatility_20d,116.180952839376
fred_sp500,0.15826085694534942
avg_rel_price,59.97914335541415
fred_pcepilfe,-43.336935584864094
fred_csushpisa,16.058513482424974
minus_di_14,0.005734333839172136
adx_14,0.5460892003236012
fred_civpart,-54.34581602118102
price_above_sma_20,2.9517229108230065
fred_nasdaqcom,-0.01760901430010952
macd_signal,1.9248052777954832
low_lag_1,0.5070708456827113
volume_lag_5,-1.521334639246587e-07
rel_strength_20d_ADP,-3328.188151370666
returns_20d,103.55133935396319
bb_lower,0.5669066797729523
obv_sma_20,-6.710088967206734e-07
atr_14,0.5314069101228365
macd_cross_signal,-3.851710873961105
fred_houst,-0.10978949130604
rel_price_ADI,56.32513664070086
fred_cpiaucsl,61.194694830504496
rel_return_ACN,97.53333074136583
macd,-1.2939390687775738
parabolic_sar,-0.05066519192001834
macd_histogram,-3.2187443464144567
sma_5_above_10,2.034272438629869
volume_ratio,-2.4448968723165674
close_roll_20_max,0.40117802312451717
fred_fedfunds,86.59660260175156
fred_cpilfesl,-44.38570188720156
fred_pcedg,0.14849563961290685
bb_position,6.621963474373775
fred_djia,-0.004101190567641881
fred_gdpc1,0.23788444186053348
fred_pcesv,-0.1780595805928246
ichimoku_kijun_26,-0.39735396183629823
fred_m1sl,0.11543315653467978
rel_price_ACN,-136.6935125539668
rel_price_AAPL,-64.06224219996824
rel_return_ADP,-79.28747578654637
plus_di_14,0.021835999757995807
ichimoku_tenkan_9,-0.5145435993003066
price_above_sma_5,-2.0847055367076166
close_lag_3,0.4218892783328483
high_lag_3,-0.34418003149082366
rel_return_volatility,-85.51387441564106
